title,authors,clean_text,emotion
The Far Side Gallery 3,Gary Larson,far side gallery,surprise
Jesus' Son: Stories,Denis Johnson,jesus son story,surprise
Love Anthony,Lisa Genova,love anthony,love
Das Unbehagen in der Kultur,"Sigmund Freud, James Strachey, Peter Gay",da unbehagen der kultur,surprise
"Astonishing X-Men, Volume 1: Gifted","Joss Whedon, John Cassaday",astonish xmen volume gift,love
"Sloppy Firsts (Jessica Darling, #1)",Megan McCafferty,sloppy first jessica darling,love
A Long Way From Chicago,Richard Peck,long way chicago,surprise
"Encyclopedia Brown, Boy Detective (Encyclopedia Brown, #1)",Donald J. Sobol,encyclopedia brown boy detective encyclopedia brown,love
"Gone, Baby, Gone",Dennis Lehane,go baby go,surprise
"Love, Stargirl",Jerry Spinelli,love stargirl,love
Don't Waste Your Life,John Piper,dont waste life,surprise
La catedral del mar,Ildefonso Falcones,la catedral del mar,surprise
Earth: A Visitor's Guide to the Human Race ,"Jon Stewart, Rory Albanese, Kevin Bleyer, Rich Bloomquist, Steve Bodow, Tim Carvell, Wyatt Cenac, Hallie Haglund, J.R. Havlan, David Javerbaum, Elliott Kalan, Josh Lieb, Sam Means, Jo Miller, John Oliver, Daniel Radosh, Jason Ross",earth visitor guide human race,surprise
Magic Kingdom for Sale—Sold!,Terry Brooks,magic kingdom salesold,surprise
The Lion King (Little Golden Book),"Justine Korman Fontes, Don Williams, Walt Disney Company",lion king little golden book,surprise
Radiant Shadows,Melissa Marr,radiant shadow,love
A Great Deliverance,Elizabeth  George,great deliverance,love
El club Dumas,"Arturo Pérez-Reverte, Sonia Soto",el club duma,surprise
Evil Under the Sun,Agatha Christie,evil sun,surprise
"My Friend Flicka (Flicka, #1)","Mary O'Hara, Dave Blossom",friend flicka flicka,love
"The Darkest Passion (Lords of the Underworld, #5)",Gena Showalter,dark passion lord underworld,love
Smiley's People,John le Carré,smiley people,love
100 Selected Poems by e. e. Cummings,E.E. Cummings,select poem e e cummings,surprise
Snow Like Ashes,Sara Raasch,snow like ash,surprise
Eyes wide open,Raine Miller,eye wide open,love
Megan Meade's Guide to the McGowan Boys,Kate Brian,megan meade guide mcgowan boy,love
One Fifth Avenue,"Candace Bushnell, Donna Murphy",one fifth avenue,surprise
A Knight in Shining Armor,Jude Deveraux,knight shin armor,surprise
Pictures of Hollis Woods,Patricia Reilly Giff,picture hollis wood,surprise
Women in Love,D.H. Lawrence,woman love,love
The Swerve: How the World Became Modern,Stephen Greenblatt,swerve world become modern,surprise
Stranger Than Fiction: True Stories,Chuck Palahniuk,stranger fiction true story,love
Smashed: Story of a Drunken Girlhood,Koren Zailckas,smashed story drunken girlhood,surprise
"Now, Discover Your Strengths","Marcus Buckingham, Donald O. Clifton",discover strength,love
The 7 Habits Of Highly Effective Teens,Sean Covey,habit highly effective teen,love
Assholes Finish First,Tucker Max,asshole finish first,surprise
Pleasure of a Dark Prince ,Kresley Cole,pleasure dark prince,love
Neil Patrick Harris: Choose Your Own Autobiography,"Neil Patrick Harris, David Javerbaum, Antony Hare",neil patrick harris choose autobiography,love
Fallen in Love,Lauren Kate,fall love,love
"A Return to Love: Reflections on the Principles of ""A Course in Miracles""",Marianne Williamson,return love reflection principle course miracle,love
"Y: The Last Man, Vol. 8: Kimono Dragons","Brian K. Vaughan, Pia Guerra, Goran Sudžuka, José Marzán Jr.",last man vol kimono dragon,surprise
Five Quarters of the Orange,Joanne Harris,five quarter orange,surprise
"Saga, Volume Five","Brian K. Vaughan, Fiona Staples",saga volume five,surprise
The Sign of the Beaver,Elizabeth George Speare,sign beaver,surprise
"Assassins : Assignment: Jerusalem, Target: Antichrist","Tim LaHaye, Jerry B. Jenkins",assassin assignment jerusalem target antichrist,love
Eat And Run,"Scott Jurek, Steve Friedman",eat run,surprise
Kiss of the Night,Sherrilyn Kenyon,kiss night,love
"From Russia, with Love",Ian Fleming,russia love,love
Modern Lovers,Emma Straub,modern lover,love
With The Old Breed: At Peleliu And Okinawa,"Eugene B. Sledge, Paul Fussell",old breed peleliu okinawa,surprise
The House of the Seven Gables,"Nathaniel Hawthorne, Robert S. Levine",house seven gable,surprise
Love Warrior,Glennon Doyle Melton,love warrior,love
The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making,"Catherynne M. Valente, Ana Juan",girl circumnavigate fairyland ship making,love
Beautiful Day,Elin Hilderbrand,beautiful day,love
The Indwelling: The Beast Takes Possession,"Tim LaHaye, Jerry B. Jenkins",indwell beast take possession,surprise
Das Glasperlenspiel,"Hermann Hesse, Richard Winston, Clara Winston, Theodore Ziolkowski",da glasperlenspiel,surprise
Eona: The Last Dragoneye,Alison Goodman,eona last dragoneye,surprise
"A Caress of Twilight (Merry Gentry, #2)",Laurell K. Hamilton,caress twilight merry gentry,love
"Simple Perfection (Perfection, #2)",Abbi Glines,simple perfection perfection,love
"Breath, Eyes, Memory ",Edwidge Danticat,breath eye memory,surprise
"Still Life with Crows (Pendergast, #4)","Douglas Preston, Lincoln Child",still life crow pendergast,surprise
Can't We Talk about Something More Pleasant?,Roz Chast,cant talk something pleasant,surprise
Britt-Marie var här,"Fredrik Backman, Henning Koch, سمانه پرهیزکاری",brittmarie var hr,surprise
Gregor and the Marks of Secret,Suzanne Collins,gregor mark secret,surprise
A Long Walk to Water,Linda Sue Park,long walk water,surprise
To Your Scattered Bodies Go,Philip José Farmer,scattered body go,surprise
A Morbid Taste for Bones,Ellis Peters,morbid taste bone,surprise
The Darkest Evening of the Year,Dean Koontz,dark evening year,surprise
E.E. Cummings: Complete Poems 1904-1962,E.E. Cummings,ee cummings complete poem,surprise
Swallows and Amazons,Arthur Ransome,swallow amazon,surprise
Lilly's Purple Plastic Purse,Kevin Henkes,lillys purple plastic purse,surprise
Books of Blood: Volumes 1-3,Clive Barker,book blood volume,surprise
Beyond Belief: My Secret Life Inside Scientology and My Harrowing Escape,"Jenna Miscavige Hill, Lisa Pulitzer",beyond belief secret life inside scientology harrowing escape,surprise
Preacher: Proud Americans,"Garth Ennis, Steve Dillon, Penn Jillette",preacher proud american,love
Creative Visualization: Use the Power of Your Imagination to Create What You Want in Your Life,Shakti Gawain,creative visualization use power imagination create want life,love
Second Grave on the Left,Darynda Jones,second grave left,surprise
Le Petit Nicolas,"René Goscinny, Jean-Jacques Sempé",le petit nicolas,surprise
Just Like Heaven,Julia Quinn,like heaven,love
Secrets of a Summer Night,Lisa Kleypas,secret summer night,surprise
"Love Is a Dog from Hell: Poems, 1974-1977",Charles Bukowski,love dog hell poem,love
A Red Herring Without Mustard,Alan Bradley,red herring without mustard,surprise
Infinity Welcomes Careful Drivers,Grant Naylor,infinity welcome careful driver,love
Can Love Happen Twice?,Ravinder Singh,love happen twice,love
This Boy's Life: A Memoir,Tobias Wolff,boys life memoir,surprise
Death Comes for the Archbishop,Willa Cather,death come archbishop,surprise
"Theodore Boone, Kid Lawyer","John Grisham, Richard Thomas",theodore boone kid lawyer,surprise
The Sacrilege: The Antichrist Takes the Throne,"Tim LaHaye, Jerry B. Jenkins",sacrilege antichrist take throne,surprise
The Postman Always Rings Twice ,James M. Cain,postman always ring twice,surprise
La ciudad de las bestias,"Isabel Allende, Margaret Sayers Peden",la ciudad de la bestias,surprise
The Story of Beautiful Girl,Rachel Simon,story beautiful girl,love
Last Night in Twisted River,John Irving,last night twisted river,surprise
Love wins,Rob Bell,love win,love
A Matter of Honor,Jeffrey Archer,matter honor,love
American Sphinx: The Character of Thomas Jefferson,Joseph J. Ellis,american sphinx character thomas jefferson,love
The Rest of Us Just Live Here,Patrick Ness,rest u live,surprise
The Astronaut Wives Club,Lily Koppel,astronaut wife club,surprise
The Man Who Was Thursday - A Nightmare,"G.K. Chesterton, Jonathan Lethem",man thursday nightmare,surprise
The Monster of Florence: A True Story,"Douglas Preston, Mario Spezi",monster florence true story,love
"Seduced by Moonlighty (Merry Gentry, #3)",Laurell K. Hamilton,seduce moonlighty merry gentry,love
Shroud for a Nightingale,P.D. James,shroud nightingale,surprise
Stories of Your Life and Others ,Ted Chiang,story life others,surprise
Travesuras de la niña mala,Mario Vargas Llosa,travesuras de la nia mala,surprise
"Loves Music, Loves to Dance",Mary Higgins Clark,love music love dance,love
It Happened One Autumn,Lisa Kleypas,happen one autumn,surprise
Y: The Last Man Vol. 7: Paper Dolls,"Brian K. Vaughan, Pia Guerra, Goran Sudžuka, José Marzán Jr.",last man vol paper doll,surprise
My True Love Gave to Me: Twelve Holiday Stories,"Stephanie Perkins, Holly Black, Ally Carter, Matt de la Pena, Gayle Forman, Jenny Han, David Levithan, Kelly Link, Myra McEntire, Rainbow Rowell, Laini Taylor, Kiersten White",true love give twelve holiday story,love
"The Walking Dead, Vol. 4: The Heart's Desire","Robert Kirkman, Charlie Adlard, Cliff Rathburn",walk dead vol heart desire,surprise
The Good House,Ann Leary,good house,love
Il barone rampante,"Italo Calvino, Archibald Colquhoun",il barone rampante,surprise
The Darkest Lie (Lords of the Underworld #6),Gena Showalter,dark lie lord underworld,surprise
Incognito: The Secret Lives of the Brain,David Eagleman,incognito secret life brain,surprise
"A Stroke of Midnight (Merry Gentry, #4)",Laurell K. Hamilton,stroke midnight merry gentry,love
There's a Wocket in My Pocket,Dr. Seuss,there wocket pocket,surprise
Hellboy: The Chained Coffin and Others,Mike Mignola,hellboy chained coffin others,surprise
Please Ignore Vera Dietz,A.S. King,please ignore vera dietz,surprise
To Say Nothing of the Dog,Connie Willis,say nothing dog,surprise
A Song of Ice and Fire Graphic Novels,"Daniel Abraham, George R.R. Martin, Tommy Patterson",song ice fire graphic novel,surprise
The Land of the Painted Caves,Jean M. Auel,land painted cave,surprise
Have Space Suit - Will Travel,Robert A. Heinlein,space suit travel,surprise
"The Social Animal: The Hidden Sources of Love, Character, and Achievement",David  Brooks,social animal hidden source love character achievement,love
Yertle the Turtle (Classic Seuss),Dr. Seuss,yertle turtle classic seuss,surprise
The Good Lord Bird,James McBride,good lord bird,love
One Good Turn,Kate Atkinson,one good turn,love
"Dark Triumph (His Fair Assassin, #2)",Robin LaFevers,dark triumph fair assassin,love
Jacob Have I Loved,Katherine Paterson,jacob love,love
Five Little Pigs,Agatha Christie,five little pig,surprise
The Far Side Gallery,Gary Larson,far side gallery,surprise
Rising Tides (Chesapeake Bay Saga #2),Nora Roberts,rise tide chesapeake bay saga,surprise
Last Exit to Brooklyn,"Hubert Selby Jr., Gilbert Sorrentino",last exit brooklyn,surprise
"Drums, Girls & Dangerous Pie",Jordan Sonnenblick,drum girls dangerous pie,surprise
Y: The Last Man Vol. 6: Girl on Girl,"Brian K. Vaughan, Pia Guerra, Goran Sudžuka, José Marzán Jr.",last man vol girl girl,surprise
Always Looking Up: The Adventures of an Incurable Optimist,Michael J. Fox,always look adventure incurable optimist,love
"Welcome to the World, Baby Girl!",Fannie Flagg,welcome world baby girl,love
Den femte kvinnan,"Henning Mankell, Steven T. Murray",den femte kvinnan,surprise
A River Runs Through It and Other Stories,Norman Maclean,river run story,surprise
Dream a Little Dream,Susan Elizabeth Phillips,dream little dream,love
Hunger Makes Me a Modern Girl,Carrie Brownstein,hunger make modern girl,surprise
Love's Executioner & Other Tales of Psychotherapy,Irvin D. Yalom,love executioner tale psychotherapy,love
"The Garden of Rama (Rama, #3)","Arthur C. Clarke, Gentry Lee",garden rama rama,surprise
Batman: The Black Mirror,"Scott Snyder, Jock, Francesco Francavilla, Jared K. Fletcher, Sal Cipriano, David   Baron",batman black mirror,surprise
If You Take a Mouse to the Movies,"Laura Joffe Numeroff, Felicia Bond",take mouse movie,surprise
The Selection Stories: The Prince & The Guard,Kiera Cass,selection stories prince guard,surprise
Night of the Soul Stealer,"Joseph Delaney, Patrick  Arrasmith",night soul stealer,surprise
Welcome to Dead House,R.L. Stine,welcome dead house,surprise
Everyone Brave Is Forgiven,Chris Cleave,everyone brave forgive,love
Safe Harbour,Danielle Steel,safe harbour,love
The Things We Do for Love,Kristin Hannah,thing love,love
Inés del alma mía,"Isabel Allende, Margaret Sayers Peden",in del alma,surprise
While My Pretty One Sleeps,Mary Higgins Clark,pretty one sleep,surprise
Arsenic and Old Lace,Joseph Kesselring,arsenic old lace,surprise
The Mill River Recluse,Darcie Chan,mill river recluse,surprise
Men Explain Things to Me,Rebecca Solnit,men explain thing,surprise
In the Company of Cheerful Ladies,Alexander McCall Smith,company cheerful lady,love
黒執事 III [Kuroshitsuji III],Yana Toboso,iii kuroshitsuji iii,surprise
Tales From a Not-So-Smart Miss Know-it-all,Rachel Renée Russell,tale notsosmart miss knowitall,love
Natural Born Charmer,Susan Elizabeth Phillips,natural bear charmer,love
The Sandman: Endless Nights,"Neil Gaiman, Barron Storey, Bill Sienkiewicz, Glenn Fabry, Dave McKean, P. Craig Russell, Milo Manara, Miguelanxo Prado, Frank Quitely, Todd Klein",sandman endless night,surprise
Food: A Love Story,Jim Gaffigan,food love story,love
The Jesus I Never Knew,Philip Yancey,jesus never know,surprise
Princess of the Midnight Ball,Jessica Day George,princess midnight ball,surprise
"Fables, Volume 3: Storybook Love","Bill Willingham, Mark Buckingham, Steve Leialoha, James Jean",fable volume storybook love,love
The Five Chinese Brothers,"Claire Huchet Bishop, Kurt Wiese",five chinese brother,surprise
My Sweet Audrina,V.C. Andrews,sweet audrina,love
My Best Friend's Girl,Dorothy Koomson,best friend girl,love
John Keats : The Complete Poems,John Keats,john keats complete poem,surprise
Almost Heaven,Judith McNaught,almost heaven,love
"Whitney, My Love",Judith McNaught,whitney love,love
Flyboys: A True Story of Courage,James D. Bradley,flyboys true story courage,love
Zomerhuis met zwembad,Herman Koch,zomerhuis meet zwembad,surprise
True History of the Kelly Gang,Peter Carey,true history kelly gang,love
One Tiny Lie,K.A. Tucker,one tiny lie,surprise
Genius: The Life and Science of Richard Feynman,James Gleick,genius life science richard feynman,surprise
Alex Cross's Trial,"James Patterson, Richard DiLallo",alex cross trial,surprise
Sway: The Irresistible Pull of Irrational Behavior,"Ori Brafman, Rom Brafman",sway irresistible pull irrational behavior,love
Waking Up: A Guide to Spirituality Without Religion,Sam Harris,wake guide spirituality without religion,love
Brokeback Mountain,Annie Proulx,brokeback mountain,surprise
Nobody's Baby But Mine,Susan Elizabeth Phillips,nobodys baby mine,surprise
"Vampireville (Vampire Kisses, #3)",Ellen Schreiber,vampireville vampire kiss,love
The Swans of Fifth Avenue,Melanie Benjamin,swan fifth avenue,surprise
Size 14 Is Not Fat Either,Meg Cabot,size fat either,surprise
1Q84 Book 3 [Ichi-kyū-hachi-yon],"Haruki Murakami, 村上 春樹",q book ichikyhachiyon,surprise
New York to Dallas,"J.D. Robb, Susan Ericksen",new york dallas,surprise
One Tuesday Morning,Karen Kingsbury,one tuesday morning,surprise
Interesting Times,"Stephen Briggs, Terry Pratchett",interest time,love
Why I Am Not a Christian and Other Essays on Religion and Related Subjects,"Bertrand Russell, Paul  Edwards",christian essay religion related subject,love
Ansichten eines Clowns,"Heinrich Böll, محمد اسماعیل‌زاده",ansichten eines clown,surprise
The Portable Atheist: Essential Readings for the Non-believer,"Christopher Hitchens, Titus Lucretius Carus, Omar Khayyám, Thomas Hobbes, Baruch Spinoza, David Hume, James Boswell, Percy Bysshe Shelley, George Eliot, Charles Darwin, Leslie Stephen, Anatole France, Mark Twain, Joseph Conrad, Thomas Hardy, Emma Goldman, H.P. Lovecraft, Carl Van Doren, H.L. Mencken, Sigmund Freud, Albert Einstein, George Orwell, John Betjeman, Chapman Cohen, Bertrand Russell, Philip Larkin, Martin Gardner, Carl Sagan, John Updike, John Leslie Mackie, Michael Shermer, A.J. Ayer, Daniel C. Dennett, Charles Templeton, Richard Dawkins, Victor J. Stenger, Elizabeth S.  Anderson, Penn Jillette, Ian McEwan, Steven Weinberg, Salman Rushdie, Ibn Warraq, Sam Harris, A.C. Grayling, Ayaan Hirsi Ali, John Stuart Mill, Karl Marx",portable atheist essential reading nonbeliever,love
The Magic Strings of Frankie Presto,Mitch Albom,magic string frankie presto,surprise
First Shift: Legacy,Hugh Howey,first shift legacy,surprise
Love Medicine,Louise Erdrich,love medicine,love
Frosty the Snow Man,"Jane Werner Watson, Corinne Malvern",frosty snow man,surprise
The Bone People,Keri Hulme,bone people,love
"Heaven, Texas",Susan Elizabeth Phillips,heaven texas,love
The Looming Tower: Al-Qaeda and the Road to 9/11,Lawrence Wright,loom tower alqaeda road,surprise
Trinity: A Novel of Ireland,Leon Uris,trinity novel ireland,surprise
Astérix le Gaulois,"René Goscinny, Albert Uderzo, Anthea Bell, Derek Hockridge",astrix le gaulois,surprise
The Thousand Orcs (Hunter's Blades #1),R.A. Salvatore,thousand orcs hunter blade,surprise
You Know You Love Me,Cecily von Ziegesar,know love,love
For the Love: Fighting for Grace in a World of Impossible Standards,Jen Hatmaker,love fighting grace world impossible standard,love
Sweet Filthy Boy ,Christina Lauren,sweet filthy boy,love
Loving What Is: Four Questions That Can Change Your Life,"Byron Katie, Stephen Mitchell",love four question change life,love
The Last Little Blue Envelope,Maureen Johnson,last little blue envelope,surprise
Unveiled: Tamar (Lineage of Grace #1),Francine Rivers,unveiled tamar lineage grace,love
"The Darkest Secret (Lords of the Underworld, #7)",Gena Showalter,dark secret lord underworld,surprise
The Women of Brewster Place,Gloria Naylor,woman brewster place,surprise
Passion and Purity: Learning to Bring Your Love Life Under Christ's Control,Elisabeth Elliot,passion purity learning bring love life christ control,love
West Side Story,Irving Shulman,west side story,surprise
The Drunkard's Walk: How Randomness Rules Our Lives,Leonard Mlodinow,drunkard walk randomness rule life,surprise
"Merry Christmas, Alex Cross",James Patterson,merry christmas alex cross,love
"Shakespeare's Landlord (Lily Bard, #1)",Charlaine Harris,shakespeare landlord lily bard,surprise
"Shrill: Women Are Funny, It's Okay to Be Fat, and Feminists Don't Have to Be Nice",Lindy West,shrill woman funny okay fat feminist dont nice,surprise
A Lot Like Love,Julie James,lot like love,love
"Saga, Volume Six","Brian K. Vaughan, Fiona Staples",saga volume six,surprise
A Good Yarn,Debbie Macomber,good yarn,love
Shall We Tell the President?,Jeffrey Archer,shall tell president,surprise
The Enchantress Returns,"Chris Colfer, Brandon Dorman",enchantress return,surprise
One Door Away from Heaven,Dean Koontz,one door away heaven,love
Love in the Afternoon,Lisa Kleypas,love afternoon,love
The Good Soldier,"Ford Madox Ford, Kenneth Womack, William Baker",good soldier,love
"Kissing Coffins (Vampire Kisses, #2)",Ellen Schreiber,kiss coffin vampire kiss,love
Big Bang: The Origin of the Universe,Simon Singh,big bang origin universe,surprise
Gods in Alabama,Joshilyn Jackson,god alabama,surprise
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,shoe dog memoir creator nike,love
Tom's Midnight Garden,"Philippa Pearce, Susan Einzig",tom midnight garden,surprise
Pilgrim at Tinker Creek,Annie Dillard,pilgrim tinker creek,surprise
Preacher: Dixie Fried,"Garth Ennis, Steve Dillon",preacher dixie fry,surprise
The Heavenly Man: The Remarkable True Story of Chinese Christian Brother Yun,"Paul Hattaway, Brother Yun",heavenly man remarkable true story chinese christian brother yun,love
Martha Stewart's Cookies,"Martha Stewart, Victor Schrager",martha stewart cooky,surprise
"Love Bites (Vampire Kisses, #7)",Ellen Schreiber,love bite vampire kiss,love
Every Soul A Star,Wendy Mass,every soul star,surprise
Jesus Land : A Memoir,Julia Scheeres,jesus land memoir,surprise
Heart no Kuni no Alice  ,"QuinRose, Soumei Hoshino",heart kuni alice,surprise
Winnie the Pooh and Tigger Too,Walt Disney Company,winnie pooh tigger,surprise
Something Like Fate,Susane Colasanti,something like fate,love
My Name Is Mary Sutter,Robin Oliveira,name mary sutter,surprise
"The Omen Machine (Richard and Kahlan, #1)",Terry Goodkind,omen machine richard kahlan,surprise
"Red Prophet (Tales of Alvin Maker, #2)",Orson Scott Card,red prophet tale alvin maker,surprise
Don't Look Back,Jennifer L. Armentrout,dont look back,love
Ultramarathon Man: Confessions of an All-Night Runner,Dean Karnazes,ultramarathon man confession allnight runner,love
The Silent Blade (Paths of Darkness #1),R.A. Salvatore,silent blade path darkness,surprise
Round Ireland with a Fridge,Tony Hawks,round ireland fridge,surprise
The Man from St. Petersburg,Ken Follett,man st petersburg,surprise
رباعیات [Robāʿiāt-e ʿOmar Khayyām],"Omar Khayyám, محمدعلی فروغی, قاسم غنی",robite omar khayym,surprise
Fourth Grave Beneath My Feet,Darynda Jones,fourth grave beneath foot,surprise
The Legend of Huma (Dragonlance: Heroes #1),Richard A. Knaak,legend huma dragonlance hero,love
Ina May's Guide to Childbirth,Ina May Gaskin,ina may guide childbirth,surprise
An Occurrence at Owl Creek Bridge,Ambrose Bierce,occurrence owl creek bridge,surprise
The Sweet Gum Tree,Katherine Allred,sweet gum tree,love
A Complicated Kindness,Miriam Toews,complicated kindness,love
"Life is What You Make It: A Story of Love, Hope and How Determination Can Overcome Even Destiny",Preeti Shenoy,life make story love hope determination overcome even destiny,love
First Among Sequels ,Jasper Fforde,first among sequel,surprise
Hellboy: Wake the Devil,Mike Mignola,hellboy wake devil,surprise
Everything that Rises Must Converge,"Flannery O'Connor, Robert Fitzgerald",everything rise must converge,surprise
A House for Mr. Biswas,V.S. Naipaul,house mr biswas,surprise
Better Off Friends,Elizabeth Eulberg,good friend,love
Sacred Contracts: Awakening Your Divine Potential,Caroline Myss,sacred contract awaken divine potential,love
The Aquitaine Progression,Robert Ludlum,aquitaine progression,love
Funny in Farsi: A Memoir of Growing Up Iranian in America,Firoozeh Dumas,funny farsi memoir grow iranian america,love
Lord John and the Brotherhood of the Blade ,Diana Gabaldon,lord john brotherhood blade,surprise
I'd Know You Anywhere,Laura Lippman,id know anywhere,surprise
"Superman: Earth One, Volume 1","J. Michael Straczynski, Shane Davis, Sandra Hope, Barbara Ciardo, Rob Leigh",superman earth one volume,surprise
Foxe's Book of Martyrs,"John Foxe, W. Grinton Berry",fox book martyr,surprise
"Don't Die, My Love",Lurlene McDaniel,dont die love,love
The Mystery of the Blue Train,Agatha Christie,mystery blue train,surprise
The Little Sisters of Eluria,"Stephen King, Michael Whelan",little sister eluria,surprise
House of Suns,Alastair Reynolds,house sun,surprise
"Lords of the Bow (Conqueror, #2)",Conn Iggulden,lord bow conqueror,surprise
Loving Mr. Daniels,Brittainy C. Cherry,love mr daniel,love
The Lives of Christopher Chant,Diana Wynne Jones,life christopher chant,surprise
The Good Luck of Right Now,Matthew Quick,good luck right,love
The Miracle at Speedy Motors ,Alexander McCall Smith,miracle speedy motor,love
"Clementine (Clementine, #1)","Sara Pennypacker, Marla Frazee",clementine clementine,love
The Adventures of Augie March,"Saul Bellow, Christopher Hitchens",adventure augie march,surprise
Forever Peace ,Joe Haldeman,forever peace,love
Apple Tree Yard,Louise Doughty,apple tree yard,surprise
Songs of Willow Frost,Jamie Ford,song willow frost,surprise
Cat Among the Pigeons,Agatha Christie,cat among pigeon,surprise
The Necklace and Other Short Stories,Guy de Maupassant,necklace short story,surprise
Captains Courageous,Rudyard Kipling,captain courageous,love
"Deep Down (Jack Reacher, #16.5)",Lee Child,deep jack reacher,surprise
"Sweet Surrender (Sweet Series, #1)",Maya Banks,sweet surrender sweet series,love
Surrender Your Love,J.C. Reed,surrender love,love
The Wonderful Story Of Henry Sugar And Six More,Roald Dahl,wonderful story henry sugar six,surprise
Arc de Triomphe,Erich Maria Remarque,arc de triomphe,surprise
"Far from the Tree: Parents, Children, and the Search for Identity",Andrew Solomon,far tree parent child search identity,surprise
Midnight Crossroad,Charlaine Harris,midnight crossroad,surprise
"To Sir Phillip, With Love",Julia Quinn,sir phillip love,love
"Darkest Powers Trilogy (Darkest Powers, #1-3)",Kelley Armstrong,dark power trilogy dark power,love
Mufaro's Beautiful Daughters: An African Tale,John Steptoe,mufaros beautiful daughter african tale,love
"God Bless You, Dr. Kevorkian",Kurt Vonnegut Jr.,god bless dr kevorkian,love
Jeremy Fink and the Meaning of Life,Wendy Mass,jeremy fink meaning life,surprise
"Transmetropolitan, Vol. 2: Lust for Life","Warren Ellis, Darick Robertson",transmetropolitan vol lust life,surprise
Secrets of a shoe addict,Beth Harbison,secret shoe addict,surprise
Prinsessen på ærten,"Janet Stevens, Hans Christian Andersen",prinsessen p rten,surprise
The Short Stories of F. Scott Fitzgerald,"F. Scott Fitzgerald, Matthew J. Bruccoli",short story f scott fitzgerald,surprise
The Passion of Artemisia,Susan Vreeland,passion artemisia,love
東京ミュウミュウ (Tokyo Mew Mew) 1,"Mia Ikumi, Reiko Yoshida",tokyo mew mew,surprise
Fifth Grave Past the Light,Darynda Jones,fifth grave past light,surprise
The Spine of the World (Paths of Darkness #2),R.A. Salvatore,spine world path darkness,surprise
Tyrannosaur Canyon,Douglas Preston,tyrannosaur canyon,surprise
My Sunshine Away,M.O. Walsh,sunshine away,love
"Maid for Love (Gansett Island Series, #1)",Marie Force,maid love gansett island series,love
Odd and the Frost Giants,"Neil Gaiman, Mark Buckingham",odd frost giant,surprise
The Last Full Measure,Jeff Shaara,last full measure,surprise
"Among the Brave (Shadow Children, #5)",Margaret Peterson Haddix,among brave shadow child,love
The Garden of Evening Mists,Tan Twan Eng,garden evening mist,surprise
Systematic Theology: An Introduction to Biblical Doctrine,Wayne A. Grudem,systematic theology introduction biblical doctrine,love
"The Dirty Life: On Farming, Food, and Love",Kristin Kimball,dirty life farm food love,love
"Big Cherry Holler (Big Stone Gap, Book 2)",Adriana Trigiani,big cherry holler big stone gap book,surprise
The Thing Around Your Neck,Chimamanda Ngozi Adichie,thing around neck,surprise
Bright Shiny Morning,James Frey,bright shiny morning,love
Daddy's Little Girl,Mary Higgins Clark,daddys little girl,surprise
The Library at Mount Char,Scott  Hawkins,library mount char,surprise
The Sweet Potato Queens' Book of Love,Jill Conner Browne,sweet potato queen book love,love
Lord Edgware Dies,Agatha Christie,lord edgware dy,surprise
Batman (Volume 2): Hush,"Jeph Loeb, Jim Lee, Scott Williams",batman volume hush,surprise
Drinking: A Love Story,Caroline Knapp,drink love story,love
Ethan Frome and Other Short Fiction,"Edith Wharton, Mary Gordon",ethan frome short fiction,surprise
Adrift: Seventy-Six Days Lost at Sea,Steven Callahan,adrift seventysix day lose sea,surprise
"Best Friends for Never (The Clique, #2)",Lisi Harrison,best friend never clique,love
Auschwitz: A New History,Laurence Rees,auschwitz new history,love
A Pocket Full of Rye,Agatha Christie,pocket full rye,surprise
of course i love you,"Durjoy Datta, Maanvi Ahuja",course love,love
Todos os Nomes,"José Saramago, Margaret Jull Costa",todos o nome,surprise
The Final Solution: A Story of Detection,"Michael Chabon, Jay Ryan",final solution story detection,surprise
What to Expect the First Year,"Heidi Murkoff, Sharon Mazel, Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway, Mark D. Widome",expect first year,surprise
The Lions of Little Rock,Kristin Levine,lion little rock,surprise
Self Matters: Creating Your Life from the Inside Out,Phillip C. McGraw,self matter create life inside,surprise
Good as Gone,Amy Gentry,good go,love
Essays in Love,Alain de Botton,essay love,love
Fourth of July Creek,Smith Henderson,fourth july creek,surprise
Another Piece of My Heart,Jane Green,another piece heart,surprise
El general en su laberinto,"Gabriel García Márquez, Edith Grossman",el general en su laberinto,love
"Lunch in Paris: A Love Story, with Recipes",Elizabeth Bard,lunch paris love story recipe,love
Love and War ,John Jakes,love war,love
I'm with the Band: Confessions of a Groupie,"Pamela Des Barres, Dave Navarro",im band confession groupie,love
The Dirty Girls Social Club,"Alisa Valdes, Alisa Valdes-Rodriguez",dirty girl social club,surprise
黒執事 II [Kuroshitsuji II],"Yana Toboso, Tomo Kimura",ii kuroshitsuji ii,surprise
Talon of the Silver Hawk,Raymond E. Feist,talon silver hawk,surprise
The Story of King Arthur,"Thomas Malory, Eugène Vinaver",story king arthur,surprise
The Love Song of J. Alfred Prufrock and Other Poems,T.S. Eliot,love song j alfred prufrock poem,love
